Method, Dim, Mean, Median, Trimean, Min, 95%
9 Color Moments :
5FoldCrossMean,9,2.9547,    2.2482 ,   2.3905 ,   0.1759 ,   8.1451
5FoldStd, 9,     0.2545 ,   0.1426  ,  0.1250 ,   0.0703 ,   1.8832
10FoldCrossMean,9, 3.0112  ,  2.2267  ,  2.4370  ,  0.1671  ,  7.9198
10FoldStd, 9, 0.2777 ,   0.2765  ,  0.2110  ,  0.0778  ,  1.1053

19 Color Moments:
5FoldCrossMean,19, 3.0246  ,  2.2176  ,  2.3771  ,  0.0972,    8.1004
5FoldStd, 19,  0.5124 ,   0.5653  ,  0.5058  ,  0.0497 ,   1.0980
10FoldCrossMean,19,2.9987 ,   2.1720 ,   2.3434  ,  0.2117 ,   8.2515
10FoldStd, 19,0.4063 ,   0.5560 ,   0.4423 ,   0.0870 ,   1.7434

9 Edge Moments:
5FoldCrossMean,9,3.1582  ,  2.1781  ,  2.3375 ,   0.1236  ,  9.2011
5FoldStd, 9,0.3761 ,   0.1872 ,   0.2336 ,   0.0240 ,   0.8791
10FoldCrossMean,9, 3.0414  ,  2.2305  ,  2.3927  ,  0.2633  ,  8.3815
10FoldStd, 9, 0.4552  ,  0.3290 ,   0.3785 ,   0.1774 ,   1.7723

19 Edge Moments:
5FoldCrossMean,19,3.2132  ,  1.9480 ,   2.1988  ,  0.1790  ,  9.4217
5FoldStd, 19,0.7560 ,   0.2034 ,   0.1797 ,   0.0548 ,   2.1842
10FoldCrossMean,19,3.1424  ,  2.0428  ,  2.2445 ,   0.2131  ,  8.7144
10FoldStd, 19,0.7432 ,   0.3629 ,   0.4033 ,   0.0801  ,  1.9959

MeanChrom & Geo(Bright/Chrom):
5FoldCrossMean,8+8,2.6484 ,   1.7974  ,  2.0556  ,  0.1195  ,  7.6645
5FoldStd, 8+8,0.1484  ,  0.3726  ,  0.2209 ,   0.0559 ,   1.1319
10FoldCrossMean,8+8,2.6147  ,  1.8109  ,  2.0537  ,  0.1936  ,  7.1563
10FoldStd, 8+8,0.3772  ,  0.2692  ,  0.3381 ,   0.0910 ,   1.1593

MeanChrom & Geo(ZetaBright):
5FoldCrossMean,8+8,3.2054  ,  1.8583  ,  2.1597 ,   0.1091 ,  11.3953
5FoldStd, 8+8,    0.3759  ,  0.1927  ,  0.1590 ,   0.0555 ,   2.9818
10FoldCrossMean,8+8,3.2106  ,  1.8917  ,  2.1863  ,  0.1418  , 10.4156
10FoldStd, 8+8,0.6164 ,   0.3192  ,  0.3137 ,   0.1065 ,   3.5019

